model_eff,task,depth,arm,n_calls,n_levels,max_dots,acc_k0,acc_maxk,tau_b,p,sig
claude-fable-5-1:low,perm,3,XB,560,12,1130,0.875,0.975,0.11768861994356807,0.001101862730513692,**
claude-fable-5-1:low,perm,3,XC,320,7,40,0.875,0.9,0.028391239536052864,0.5629723004937512,
claude-fable-5-1:low,perm,4,XB,560,13,1450,0.1875,0.25,0.1025737209119001,0.004278952615132235,**
claude-fable-5-1:low,perm,4,XC,320,7,40,0.1875,0.125,-0.026721166622167405,0.5861615269117948,
claude-fable-5-1:low,perm,6,XB,560,13,2090,0.05,0.075,0.045560798130198615,0.20446404020473918,
claude-fable-5-1:low,perm,6,XC,320,7,40,0.05,0.075,0.044023825097240406,0.3697591392524383,
claude-opus-5:off,lookup,3,XB,306,8,700,0.7,0.7692307692307693,0.05493621796803915,0.2682794864966882,
claude-opus-5:off,lookup,4,XB,301,8,700,0.375,0.5238095238095238,0.057787181717393415,0.2484556212245458,
claude-opus-5:off,lookup,6,XB,293,8,700,0.225,0.15384615384615385,-0.005291238318478528,0.9171056784594578,
claude-opus-5:off,modchain,4,XB,313,8,700,0.575,0.4411764705882353,-0.0735116079973782,0.13383077771059654,
claude-opus-5:off,modchain,6,XB,318,8,700,0.275,0.34210526315789475,0.04511499933091474,0.35366668811004787,
claude-opus-5:off,modchain,8,XB,299,8,700,0.1,0.21052631578947367,0.07969330219782086,0.11279775974420386,
claude-opus-5:off,perm,2,XB,308,8,700,0.825,1.0,0.19967301344177962,5.398777738394786e-05,***
claude-opus-5:off,perm,3,XB,1863,8,700,0.1625,0.6284153005464481,0.2796401699923292,4.224004060263328e-44,***
claude-opus-5:off,perm,4,XB,291,8,700,0.15,0.0,-0.11114595848184902,0.02943847293878795,*
claude-opus-5:off,reach,3,XB,293,8,700,0.725,0.8461538461538461,0.17381527884580694,0.0006285213307216081,***
claude-opus-5:off,reach,4,XB,295,8,700,0.625,0.8,0.13131052683264327,0.009513108288380253,**
deepseek/deepseek-chat-v3-0324:default,lookup,2,XB,320,8,700,0.475,0.425,-0.016795120718483103,0.7290601311531764,
deepseek/deepseek-chat-v3-0324:default,lookup,2,XC,319,8,700,0.475,0.4,-0.04138745910831694,0.39409358379623893,
deepseek/deepseek-chat-v3-0324:default,lookup,3,XB,320,8,700,0.2,0.25,-0.018668220869956117,0.7002328764876098,
deepseek/deepseek-chat-v3-0324:default,lookup,3,XC,320,8,700,0.2,0.05,-0.09594343745726597,0.0478497773924642,*
deepseek/deepseek-chat-v3-0324:default,modchain,2,XB,320,8,700,0.9,0.975,0.049915017154568427,0.3032786441613675,
deepseek/deepseek-chat-v3-0324:default,modchain,2,XC,320,8,700,0.9,0.85,-0.015902648647677046,0.7429343149962612,
